,yuv,framenos,content,ref
280,COVT-110_res720_mu1500_sigma300_rate906_aqOn.yuv,190,COVT-110,COVT-110_res2160_mu100000_sigma0_rate100000_aqOn.yuv
281,BTFB-01h12m33s_res600_mu800_sigma50_rate703_aqOff.yuv,191,BTFB-01h12m33s,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
282,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv,198,CHMA-302,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv
283,Wot-2_res720_mu1500_sigma100_rate1329_aqOff.yuv,190,Wot-2,Wot-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
284,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv,198,EplLeyVsWre-day,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv
285,CHEM_res2160_mu1000_sigma100_rate1012_aqOn.yuv,190,CHEM,CHEM_res2160_mu100000_sigma0_rate100000_aqOn.yuv
286,CHMA-101_res600_mu800_sigma200_rate461_aqOn.yuv,190,CHMA-101,CHMA-101_res2160_mu100000_sigma0_rate100000_aqOn.yuv
287,Disney_res600_mu800_sigma50_rate928_aqOn.yuv,190,Disney,Disney_res2160_mu100000_sigma0_rate100000_aqOn.yuv
288,CHMA-101_res2160_mu3000_sigma300_rate3316_aqOn.yuv,190,CHMA-101,CHMA-101_res2160_mu100000_sigma0_rate100000_aqOn.yuv
289,Disney-3_res720_mu1500_sigma300_rate2255_aqOn.yuv,190,Disney-3,Disney-3_res2160_mu100000_sigma0_rate100000_aqOn.yuv
290,JKRY-108_res1080_mu5400_sigma300_rate5128_aqOn.yuv,190,JKRY-108,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv
291,COVT-107_res720_mu1500_sigma300_rate1328_aqOn.yuv,190,COVT-107,COVT-107_res2160_mu100000_sigma0_rate100000_aqOn.yuv
292,MOLV-102_res1080_mu1200_sigma100_rate1304_aqOn.yuv,190,MOLV-102,MOLV-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
293,EXPA-504_res2160_mu3000_sigma300_rate2899_aqOn.yuv,189,EXPA-504,EXPA-504_res2160_mu100000_sigma0_rate100000_aqOn.yuv
294,BTFB-01h41m55s_res2160_mu3000_sigma300_rate2798_aqOff.yuv,190,BTFB-01h41m55s,BTFB-01h41m55s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
295,CHMA-302_res2160_mu1000_sigma100_rate974_aqOn.yuv,198,CHMA-302,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv
296,HZLN_res2160_mu1000_sigma100_rate1047_aqOn.yuv,190,HZLN,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv
297,HNNA-102_res2160_mu3000_sigma300_rate2873_aqOn.yuv,190,HNNA-102,HNNA-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
298,Wot-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,Wot-2,Wot-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
299,THBY-103_res1080_mu5400_sigma300_rate5135_aqOn.yuv,190,THBY-103,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv
300,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,178,HERO-00h01m57s,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
301,CHMA-101_res2160_mu11200_sigma300_rate10762_aqOn.yuv,190,CHMA-101,CHMA-101_res2160_mu100000_sigma0_rate100000_aqOn.yuv
302,MSPY-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv,189,MSPY-2,MSPY-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
303,EXPA-504_res2160_mu1000_sigma100_rate1057_aqOn.yuv,189,EXPA-504,EXPA-504_res2160_mu100000_sigma0_rate100000_aqOn.yuv
304,CHEM_res1080_mu500_sigma100_rate772_aqOn.yuv,190,CHEM,CHEM_res2160_mu100000_sigma0_rate100000_aqOn.yuv
305,COVT-110_res1080_mu500_sigma100_rate578_aqOn.yuv,190,COVT-110,COVT-110_res2160_mu100000_sigma0_rate100000_aqOn.yuv
306,Wot-2_res2160_mu3000_sigma300_rate3149_aqOff.yuv,190,Wot-2,Wot-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
307,CIND-00h13m44s_res600_mu800_sigma50_rate831_aqOn.yuv,190,CIND-00h13m44s,CIND-00h13m44s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
