,yuv,framenos,content,ref
0,HNNA-102_res1080_mu1200_sigma100_rate1218_aqOn.yuv,190,HNNA-102,HNNA-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
1,CHMA-101_res720_mu1500_sigma300_rate1826_aqOn.yuv,190,CHMA-101,CHMA-101_res2160_mu100000_sigma0_rate100000_aqOn.yuv
2,HNNA-102_res1080_mu5400_sigma300_rate5218_aqOn.yuv,190,HNNA-102,HNNA-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
3,CHMA-313-2_res1080_mu1200_sigma100_rate954_aqOn.yuv,198,CHMA-313-2,CHMA-313-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
4,BTFB-01h05m40s_res1080_mu5400_sigma300_rate5202_aqOn.yuv,190,BTFB-01h05m40s,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
5,BTFB-01h05m40s_res600_mu800_sigma50_rate779_aqOff.yuv,190,BTFB-01h05m40s,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
6,BASN-00h37m18s_res720_mu1500_sigma100_rate1598_aqOn.yuv,190,BASN-00h37m18s,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
7,HERO-00h02m40s_res2160_mu1000_sigma100_rate964_aqOn.yuv,189,HERO-00h02m40s,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
8,HNNA-102_res2160_mu1000_sigma100_rate941_aqOn.yuv,190,HNNA-102,HNNA-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
9,CHEM_res720_mu1500_sigma300_rate1833_aqOn.yuv,190,CHEM,CHEM_res2160_mu100000_sigma0_rate100000_aqOn.yuv
10,BTFB-01h41m55s_res720_mu1500_sigma100_rate1409_aqOff.yuv,190,BTFB-01h41m55s,BTFB-01h41m55s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
11,CARE-2_res1080_mu1200_sigma100_rate1214_aqOn.yuv,189,CARE-2,CARE-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
12,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,189,BTFB-01h05m40s,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
13,EXPA-510-1_res600_mu800_sigma200_rate807_aqOn.yuv,190,EXPA-510-1,EXPA-510-1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
14,HERO-00h02m40s_res1080_mu1200_sigma100_rate1179_aqOn.yuv,189,HERO-00h02m40s,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
15,JKRY-108_res2160_mu1000_sigma100_rate842_aqOn.yuv,190,JKRY-108,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv
16,BTFB-01h12m33s_res600_mu800_sigma50_rate703_aqOn.yuv,191,BTFB-01h12m33s,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
17,MOLV-102_res600_mu800_sigma200_rate799_aqOn.yuv,190,MOLV-102,MOLV-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
18,MSPY-2_res2160_mu3000_sigma300_rate3233_aqOn.yuv,189,MSPY-2,MSPY-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
19,CHMA-302_res720_mu1500_sigma300_rate1113_aqOn.yuv,198,CHMA-302,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv
20,HZLN_res1080_mu5400_sigma300_rate5291_aqOn.yuv,190,HZLN,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv
21,THBY-103_res600_mu800_sigma200_rate704_aqOn.yuv,190,THBY-103,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv
22,BTFB-01h05m40s_res2160_mu3000_sigma300_rate3123_aqOn.yuv,189,BTFB-01h05m40s,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
23,HNNA-202_res2160_mu11200_sigma300_rate11106_aqOn.yuv,190,HNNA-202,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv
24,AERO-00h13m10s_res600_mu800_sigma50_rate766_aqOff.yuv,189,AERO-00h13m10s,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
25,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,166,CMDY-101-00h10m21s,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
26,HZLN_res2160_mu3000_sigma300_rate3623_aqOn.yuv,190,HZLN,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv
27,HERO-00h02m40s_res1080_mu1200_sigma100_rate1179_aqOff.yuv,189,HERO-00h02m40s,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
28,HERO-00h01m57s_res1080_mu500_sigma100_rate440_aqOn.yuv,178,HERO-00h01m57s,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
29,HERO-00h02m40s_res720_mu1500_sigma100_rate1433_aqOn.yuv,189,HERO-00h02m40s,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
30,CIND-00h13m44s_res1080_mu1200_sigma100_rate1231_aqOff.yuv,190,CIND-00h13m44s,CIND-00h13m44s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
31,Wot_res600_mu800_sigma200_rate956_aqOn.yuv,190,Wot,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv
32,BTFB-01h12m21s_res2160_mu11200_sigma300_rate10755_aqOn.yuv,190,BTFB-01h12m21s,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
33,BTFB-01h41m55s_res720_mu1500_sigma100_rate1409_aqOn.yuv,190,BTFB-01h41m55s,BTFB-01h41m55s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
34,MRSM-301_res1080_mu500_sigma100_rate475_aqOn.yuv,190,MRSM-301,MRSM-301_res2160_mu100000_sigma0_rate100000_aqOn.yuv
35,JKRY-108_res2160_mu3000_sigma300_rate2538_aqOn.yuv,190,JKRY-108,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv
36,HNNA-202_res2160_mu3000_sigma300_rate3037_aqOn.yuv,190,HNNA-202,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv
37,CMDY-101-00h10m21s_res600_mu800_sigma200_rate537_aqOn.yuv,166,CMDY-101-00h10m21s,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
38,MRSM-301_res1080_mu1200_sigma100_rate1109_aqOn.yuv,190,MRSM-301,MRSM-301_res2160_mu100000_sigma0_rate100000_aqOn.yuv
39,EXPA-510-1_res720_mu1500_sigma300_rate1736_aqOn.yuv,190,EXPA-510-1,EXPA-510-1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
40,BTFB-01h12m21s_res720_mu1500_sigma100_rate1624_aqOff.yuv,190,BTFB-01h12m21s,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
41,COVT-110_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,COVT-110,COVT-110_res2160_mu100000_sigma0_rate100000_aqOn.yuv
42,BTFB-01h41m55s_res1080_mu500_sigma100_rate386_aqOn.yuv,190,BTFB-01h41m55s,BTFB-01h41m55s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
43,BTFB-01h12m33s_res2160_mu1000_sigma100_rate984_aqOn.yuv,191,BTFB-01h12m33s,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
44,EplJuvVsRma-night2_res2160_mu1700_sigma0_rate1700_aqOn.yuv,198,EplJuvVsRma-night2,EplJuvVsRma-night2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
45,EplJuvVsRma-night2_res600_mu800_sigma200_rate595_aqOn.yuv,198,EplJuvVsRma-night2,EplJuvVsRma-night2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
46,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,191,BTFB-01h12m33s,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
47,EXPA-505_res2160_mu11200_sigma300_rate10936_aqOn.yuv,190,EXPA-505,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv
48,Disney_res2160_mu1000_sigma100_rate870_aqOn.yuv,190,Disney,Disney_res2160_mu100000_sigma0_rate100000_aqOn.yuv
49,EplLeyVsWre-day_res2160_mu3000_sigma300_rate2906_aqOn.yuv,198,EplLeyVsWre-day,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv
50,CARE-2_res2160_mu1000_sigma100_rate971_aqOn.yuv,189,CARE-2,CARE-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
51,Disney-3_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,Disney-3,Disney-3_res2160_mu100000_sigma0_rate100000_aqOn.yuv
52,BTFB-01h05m40s_res2160_mu1000_sigma100_rate985_aqOn.yuv,189,BTFB-01h05m40s,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
53,BTFB-01h05m40s_res720_mu1500_sigma100_rate1597_aqOff.yuv,190,BTFB-01h05m40s,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
54,CHMA-313-2_res2160_mu1000_sigma100_rate1044_aqOn.yuv,198,CHMA-313-2,CHMA-313-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
55,CIND-00h13m44s_res1080_mu500_sigma100_rate499_aqOn.yuv,190,CIND-00h13m44s,CIND-00h13m44s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
56,MSPY-2_res1080_mu5400_sigma300_rate5530_aqOn.yuv,189,MSPY-2,MSPY-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
57,HERO-00h02m40s_res1080_mu5400_sigma300_rate5608_aqOn.yuv,189,HERO-00h02m40s,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
58,EplJuvVsRma-night2_res2160_mu3000_sigma300_rate3107_aqOn.yuv,198,EplJuvVsRma-night2,EplJuvVsRma-night2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
59,BTFB-01h41m55s_res2160_mu11200_sigma300_rate11259_aqOn.yuv,190,BTFB-01h41m55s,BTFB-01h41m55s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
60,AERO-00h13m10s_res2160_mu3000_sigma300_rate2852_aqOn.yuv,189,AERO-00h13m10s,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
61,Wot-2_res1080_mu1200_sigma100_rate1272_aqOff.yuv,190,Wot-2,Wot-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
62,BTFB-01h12m33s_res2160_mu3000_sigma300_rate3012_aqOn.yuv,191,BTFB-01h12m33s,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
63,HNNA-102_res720_mu1500_sigma300_rate1142_aqOn.yuv,190,HNNA-102,HNNA-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
64,BTFB-01h12m33s_res2160_mu3000_sigma300_rate3012_aqOff.yuv,191,BTFB-01h12m33s,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
65,7500-00h15m25s_res2160_mu1000_sigma100_rate788_aqOn.yuv,189,7500-00h15m25s,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
66,BTFB-01h12m21s_res600_mu800_sigma50_rate806_aqOff.yuv,190,BTFB-01h12m21s,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
67,CARE-2_res720_mu1500_sigma300_rate1229_aqOn.yuv,189,CARE-2,CARE-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
68,CHMA-402_res1080_mu1200_sigma100_rate1193_aqOn.yuv,198,CHMA-402,CHMA-402_res2160_mu100000_sigma0_rate100000_aqOn.yuv
69,EplJuvVsRma-night3_res1080_mu500_sigma100_rate588_aqOn.yuv,198,EplJuvVsRma-night3,EplJuvVsRma-night3_res2160_mu100000_sigma0_rate100000_aqOn.yuv
70,HZLN_res1080_mu1200_sigma100_rate1339_aqOn.yuv,190,HZLN,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv
71,EplJuvVsRma-night1_res2160_mu1700_sigma0_rate1700_aqOn.yuv,198,EplJuvVsRma-night1,EplJuvVsRma-night1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
72,BTFB-01h12m33s_res1080_mu1200_sigma100_rate1213_aqOff.yuv,191,BTFB-01h12m33s,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
73,THBY-103_res2160_mu11200_sigma300_rate11198_aqOn.yuv,190,THBY-103,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv
74,BTFB-01h05m40s_res2160_mu11200_sigma300_rate11099_aqOn.yuv,189,BTFB-01h05m40s,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
75,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,BASN-00h37m18s,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
76,HNNA-102_res600_mu800_sigma200_rate654_aqOn.yuv,190,HNNA-102,HNNA-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
77,BTFB-00h33m50s_res1080_mu1200_sigma100_rate1220_aqOff.yuv,158,BTFB-00h33m50s,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
78,EplLeyVsWre-day_res2160_mu1700_sigma0_rate1700_aqOn.yuv,198,EplLeyVsWre-day,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv
79,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,EXPA-505,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv
80,CHMA-313_res2160_mu11200_sigma300_rate11234_aqOn.yuv,198,CHMA-313,CHMA-313_res2160_mu100000_sigma0_rate100000_aqOn.yuv
81,EplJuvVsRma-night2_res2160_mu11200_sigma300_rate11053_aqOn.yuv,198,EplJuvVsRma-night2,EplJuvVsRma-night2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
82,CHMA-402_res2160_mu1000_sigma100_rate966_aqOn.yuv,198,CHMA-402,CHMA-402_res2160_mu100000_sigma0_rate100000_aqOn.yuv
83,HERO-00h01m57s_res600_mu800_sigma50_rate780_aqOff.yuv,178,HERO-00h01m57s,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
84,BTFB-01h05m40s_res720_mu1500_sigma100_rate1597_aqOn.yuv,190,BTFB-01h05m40s,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
85,COVT-110_res1080_mu1200_sigma100_rate1101_aqOn.yuv,190,COVT-110,COVT-110_res2160_mu100000_sigma0_rate100000_aqOn.yuv
86,HERO-00h02m40s_res2160_mu11200_sigma300_rate11398_aqOn.yuv,189,HERO-00h02m40s,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
87,MOLV-102_res2160_mu11200_sigma300_rate11279_aqOn.yuv,190,MOLV-102,MOLV-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
88,BTFB-01h05m40s_res1080_mu500_sigma100_rate481_aqOn.yuv,190,BTFB-01h05m40s,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
89,CHMA-302_res1080_mu500_sigma100_rate629_aqOn.yuv,198,CHMA-302,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv
90,BASN-00h37m18s_res2160_mu11200_sigma300_rate11167_aqOn.yuv,190,BASN-00h37m18s,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
91,CHMA-313-2_res720_mu1500_sigma300_rate1682_aqOn.yuv,198,CHMA-313-2,CHMA-313-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
92,BTFB-00h33m50s_res1080_mu1200_sigma100_rate1220_aqOn.yuv,158,BTFB-00h33m50s,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
93,EplJuvVsRma-night3_res600_mu800_sigma200_rate974_aqOn.yuv,198,EplJuvVsRma-night3,EplJuvVsRma-night3_res2160_mu100000_sigma0_rate100000_aqOn.yuv
94,7500-00h15m25s_res1080_mu5400_sigma300_rate5638_aqOn.yuv,189,7500-00h15m25s,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
95,CHMA-313-2_res600_mu800_sigma200_rate695_aqOn.yuv,198,CHMA-313-2,CHMA-313-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
96,EplJuvVsRma-night2_res1080_mu1200_sigma100_rate892_aqOn.yuv,198,EplJuvVsRma-night2,EplJuvVsRma-night2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
97,THBY-103_res2160_mu1000_sigma100_rate922_aqOn.yuv,190,THBY-103,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv
98,CMDY-101-00h10m21s_res720_mu1500_sigma300_rate1807_aqOn.yuv,166,CMDY-101-00h10m21s,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
99,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,158,BTFB-00h33m50s,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
100,CIND-00h13m44s_res1080_mu1200_sigma100_rate1231_aqOn.yuv,190,CIND-00h13m44s,CIND-00h13m44s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
101,Wot-2_res2160_mu1000_sigma100_rate853_aqOn.yuv,190,Wot-2,Wot-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
102,EXPA-505_res1080_mu5400_sigma300_rate5136_aqOn.yuv,190,EXPA-505,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv
103,BTFB-01h41m55s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,BTFB-01h41m55s,BTFB-01h41m55s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
104,CHMA-313-2_res1080_mu5400_sigma300_rate5646_aqOn.yuv,198,CHMA-313-2,CHMA-313-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
105,BTFB-01h12m21s_res2160_mu3000_sigma300_rate3219_aqOn.yuv,190,BTFB-01h12m21s,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
106,HNNA-202_res1080_mu5400_sigma300_rate5386_aqOn.yuv,190,HNNA-202,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv
107,EXPA-505_res600_mu800_sigma50_rate809_aqOn.yuv,190,EXPA-505,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv
108,EplJuvVsRma-night1_res2160_mu3000_sigma300_rate2520_aqOn.yuv,198,EplJuvVsRma-night1,EplJuvVsRma-night1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
109,EplLeyVsWre-day_res1080_mu500_sigma100_rate455_aqOn.yuv,198,EplLeyVsWre-day,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv
110,HERO-00h02m40s_res600_mu800_sigma50_rate831_aqOff.yuv,189,HERO-00h02m40s,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
111,MRSM-301_res600_mu800_sigma200_rate1060_aqOn.yuv,190,MRSM-301,MRSM-301_res2160_mu100000_sigma0_rate100000_aqOn.yuv
112,CARE-2_res2160_mu3000_sigma300_rate2565_aqOn.yuv,189,CARE-2,CARE-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
113,BASN-00h37m18s_res2160_mu1000_sigma100_rate922_aqOn.yuv,190,BASN-00h37m18s,BASN-00h37m18s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
114,EplJuvVsRma-night3_res720_mu1500_sigma300_rate1687_aqOn.yuv,198,EplJuvVsRma-night3,EplJuvVsRma-night3_res2160_mu100000_sigma0_rate100000_aqOn.yuv
115,CHMA-313-2_res2160_mu3000_sigma300_rate3249_aqOn.yuv,198,CHMA-313-2,CHMA-313-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
116,CHMA-302_res1080_mu5400_sigma300_rate5415_aqOn.yuv,198,CHMA-302,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv
117,BTFB-01h12m21s_res600_mu800_sigma50_rate806_aqOn.yuv,190,BTFB-01h12m21s,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
118,BTFB-00h33m50s_res2160_mu3000_sigma300_rate2862_aqOn.yuv,158,BTFB-00h33m50s,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
119,CMDY-101-00h10m21s_res1080_mu5400_sigma300_rate5789_aqOn.yuv,166,CMDY-101-00h10m21s,CMDY-101-00h10m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
120,JKRY-108_res1080_mu1200_sigma100_rate1052_aqOn.yuv,190,JKRY-108,JKRY-108_res2160_mu100000_sigma0_rate100000_aqOn.yuv
121,Disney-3_res1080_mu5400_sigma300_rate5404_aqOn.yuv,190,Disney-3,Disney-3_res2160_mu100000_sigma0_rate100000_aqOn.yuv
122,AERO-00h13m10s_res2160_mu11200_sigma300_rate11201_aqOn.yuv,189,AERO-00h13m10s,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
123,COVT-110_res2160_mu3000_sigma300_rate2853_aqOn.yuv,190,COVT-110,COVT-110_res2160_mu100000_sigma0_rate100000_aqOn.yuv
124,7500-00h15m25s_res2160_mu3000_sigma300_rate3372_aqOn.yuv,189,7500-00h15m25s,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
125,MOLV-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,MOLV-102,MOLV-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
126,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,189,AERO-00h13m10s,AERO-00h13m10s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
127,THBY-103_res2160_mu3000_sigma300_rate3264_aqOn.yuv,190,THBY-103,THBY-103_res2160_mu100000_sigma0_rate100000_aqOn.yuv
128,BTFB-01h41m55s_res600_mu800_sigma50_rate787_aqOn.yuv,190,BTFB-01h41m55s,BTFB-01h41m55s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
129,CHMA-402_res2160_mu100000_sigma0_rate100000_aqOn.yuv,198,CHMA-402,CHMA-402_res2160_mu100000_sigma0_rate100000_aqOn.yuv
130,HERO-00h02m40s_res1080_mu500_sigma100_rate580_aqOn.yuv,189,HERO-00h02m40s,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
131,HNNA-202_res600_mu800_sigma200_rate958_aqOn.yuv,191,HNNA-202,HNNA-202_res2160_mu100000_sigma0_rate100000_aqOn.yuv
132,CHMA-313_res1080_mu1200_sigma100_rate1091_aqOn.yuv,198,CHMA-313,CHMA-313_res2160_mu100000_sigma0_rate100000_aqOn.yuv
133,7500-00h15m25s_res600_mu800_sigma50_rate840_aqOn.yuv,189,7500-00h15m25s,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
134,HERO-00h02m40s_res720_mu1500_sigma100_rate1433_aqOff.yuv,189,HERO-00h02m40s,HERO-00h02m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
135,EXPA-510-1_res2160_mu11200_sigma300_rate11369_aqOn.yuv,190,EXPA-510-1,EXPA-510-1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
136,CHMA-313_res600_mu800_sigma200_rate550_aqOn.yuv,198,CHMA-313,CHMA-313_res2160_mu100000_sigma0_rate100000_aqOn.yuv
137,COVT-107_res2160_mu11200_sigma300_rate11041_aqOn.yuv,190,COVT-107,COVT-107_res2160_mu100000_sigma0_rate100000_aqOn.yuv
138,EXPA-504_res600_mu800_sigma200_rate1058_aqOn.yuv,189,EXPA-504,EXPA-504_res2160_mu100000_sigma0_rate100000_aqOn.yuv
139,MSPY-2_res2160_mu1000_sigma100_rate1104_aqOn.yuv,189,MSPY-2,MSPY-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
140,Wot_res2160_mu3000_sigma300_rate2892_aqOn.yuv,190,Wot,Wot_res2160_mu100000_sigma0_rate100000_aqOn.yuv
141,Wot-2_res720_mu1500_sigma100_rate1329_aqOn.yuv,190,Wot-2,Wot-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
142,7500-00h15m25s_res2160_mu11200_sigma300_rate11726_aqOn.yuv,189,7500-00h15m25s,7500-00h15m25s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
143,CHEM_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,CHEM,CHEM_res2160_mu100000_sigma0_rate100000_aqOn.yuv
144,COVT-110_res1080_mu5400_sigma300_rate5625_aqOn.yuv,190,COVT-110,COVT-110_res2160_mu100000_sigma0_rate100000_aqOn.yuv
145,Disney-3_res2160_mu11200_sigma300_rate10955_aqOn.yuv,190,Disney-3,Disney-3_res2160_mu100000_sigma0_rate100000_aqOn.yuv
146,EXPA-510-1_res2160_mu3000_sigma300_rate3104_aqOn.yuv,190,EXPA-510-1,EXPA-510-1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
147,MSPY-2_res1080_mu1200_sigma100_rate1243_aqOn.yuv,189,MSPY-2,MSPY-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
148,EplJuvVsRma-night1_res2160_mu11200_sigma300_rate10916_aqOn.yuv,198,EplJuvVsRma-night1,EplJuvVsRma-night1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
149,HERO-00h01m57s_res720_mu1500_sigma100_rate1426_aqOn.yuv,178,HERO-00h01m57s,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
150,HZLN_res720_mu1500_sigma300_rate1481_aqOn.yuv,190,HZLN,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv
151,CHMA-313_res1080_mu500_sigma100_rate376_aqOn.yuv,198,CHMA-313,CHMA-313_res2160_mu100000_sigma0_rate100000_aqOn.yuv
152,EXPA-505_res2160_mu3000_sigma300_rate3200_aqOn.yuv,190,EXPA-505,EXPA-505_res2160_mu100000_sigma0_rate100000_aqOn.yuv
153,Disney-3_res600_mu800_sigma200_rate1056_aqOn.yuv,190,Disney-3,Disney-3_res2160_mu100000_sigma0_rate100000_aqOn.yuv
154,Wot-2_res600_mu800_sigma50_rate824_aqOn.yuv,190,Wot-2,Wot-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
155,BTFB-01h05m40s_res1080_mu1200_sigma100_rate1172_aqOff.yuv,190,BTFB-01h05m40s,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
156,CHMA-313_res2160_mu1000_sigma100_rate878_aqOn.yuv,198,CHMA-313,CHMA-313_res2160_mu100000_sigma0_rate100000_aqOn.yuv
157,EplLeyVsWre-day_res1080_mu1200_sigma100_rate1327_aqOn.yuv,198,EplLeyVsWre-day,EplLeyVsWre-day_res2160_mu100000_sigma0_rate100000_aqOn.yuv
158,EplJuvVsRma-night2_res720_mu1500_sigma300_rate1278_aqOn.yuv,198,EplJuvVsRma-night2,EplJuvVsRma-night2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
159,EXPA-510-1_res1080_mu500_sigma100_rate598_aqOn.yuv,190,EXPA-510-1,EXPA-510-1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
